# 2012 Playoffs
# Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Sat Apr 28 2012,Box Score,Philadelphia 76ers,91,Chicago Bulls,103,,
Sat Apr 28 2012,Box Score,Orlando Magic,81,Indiana Pacers,77,,
Sat Apr 28 2012,Box Score,New York Knicks,67,Miami Heat,100,,
Sat Apr 28 2012,Box Score,Dallas Mavericks,98,Oklahoma City Thunder,99,,
Sun Apr 29 2012,Box Score,Boston Celtics,74,Atlanta Hawks,83,,
Sun Apr 29 2012,Box Score,Denver Nuggets,88,Los Angeles Lakers,103,,
Sun Apr 29 2012,Box Score,Los Angeles Clippers,99,Memphis Grizzlies,98,,
Sun Apr 29 2012,Box Score,Utah Jazz,91,San Antonio Spurs,106,,
Mon Apr 30 2012,Box Score,Orlando Magic,78,Indiana Pacers,93,,
Mon Apr 30 2012,Box Score,New York Knicks,94,Miami Heat,104,,
Mon Apr 30 2012,Box Score,Dallas Mavericks,99,Oklahoma City Thunder,102,,
Tue May 1 2012,Box Score,Boston Celtics,87,Atlanta Hawks,80,,
Tue May 1 2012,Box Score,Philadelphia 76ers,109,Chicago Bulls,92,,
Tue May 1 2012,Box Score,Denver Nuggets,100,Los Angeles Lakers,104,,
Wed May 2 2012,Box Score,Los Angeles Clippers,98,Memphis Grizzlies,105,,
Wed May 2 2012,Box Score,Indiana Pacers,97,Orlando Magic,74,,
Wed May 2 2012,Box Score,Utah Jazz,83,San Antonio Spurs,114,,
Thu May 3 2012,Box Score,Oklahoma City Thunder,95,Dallas Mavericks,79,,
Thu May 3 2012,Box Score,Miami Heat,87,New York Knicks,70,,
Fri May 4 2012,Box Score,Atlanta Hawks,84,Boston Celtics,90,OT,
Fri May 4 2012,Box Score,Los Angeles Lakers,84,Denver Nuggets,99,,
Fri May 4 2012,Box Score,Chicago Bulls,74,Philadelphia 76ers,79,,
Sat May 5 2012,Box Score,Oklahoma City Thunder,103,Dallas Mavericks,97,,
Sat May 5 2012,Box Score,Memphis Grizzlies,86,Los Angeles Clippers,87,,
Sat May 5 2012,Box Score,Indiana Pacers,101,Orlando Magic,99,OT,
Sat May 5 2012,Box Score,San Antonio Spurs,102,Utah Jazz,90,,
Sun May 6 2012,Box Score,Atlanta Hawks,79,Boston Celtics,101,,
Sun May 6 2012,Box Score,Los Angeles Lakers,92,Denver Nuggets,88,,
Sun May 6 2012,Box Score,Miami Heat,87,New York Knicks,89,,
Sun May 6 2012,Box Score,Chicago Bulls,82,Philadelphia 76ers,89,,
Mon May 7 2012,Box Score,Memphis Grizzlies,97,Los Angeles Clippers,101,OT,
Mon May 7 2012,Box Score,San Antonio Spurs,87,Utah Jazz,81,,
Tue May 8 2012,Box Score,Boston Celtics,86,Atlanta Hawks,87,,
Tue May 8 2012,Box Score,Philadelphia 76ers,69,Chicago Bulls,77,,
Tue May 8 2012,Box Score,Orlando Magic,87,Indiana Pacers,105,,
Tue May 8 2012,Box Score,Denver Nuggets,102,Los Angeles Lakers,99,,
Wed May 9 2012,Box Score,Los Angeles Clippers,80,Memphis Grizzlies,92,,
