# 2012 Playoffs
# Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Wed May 9 2012,Box Score,New York Knicks,94,Miami Heat,106,,
Thu May 10 2012,Box Score,Atlanta Hawks,80,Boston Celtics,83,,
Thu May 10 2012,Box Score,Los Angeles Lakers,96,Denver Nuggets,113,,
Thu May 10 2012,Box Score,Chicago Bulls,78,Philadelphia 76ers,79,,
Fri May 11 2012,Box Score,Memphis Grizzlies,90,Los Angeles Clippers,88,,
Sat May 12 2012,Box Score,Philadelphia 76ers,91,Boston Celtics,92,,
Sat May 12 2012,Box Score,Denver Nuggets,87,Los Angeles Lakers,96,,
Sun May 13 2012,Box Score,Los Angeles Clippers,82,Memphis Grizzlies,72,,
Sun May 13 2012,Box Score,Indiana Pacers,86,Miami Heat,95,,
Mon May 14 2012,Box Score,Philadelphia 76ers,82,Boston Celtics,81,,
Mon May 14 2012,Box Score,Los Angeles Lakers,90,Oklahoma City Thunder,119,,
Tue May 15 2012,Box Score,Indiana Pacers,78,Miami Heat,75,,
Tue May 15 2012,Box Score,Los Angeles Clippers,92,San Antonio Spurs,108,,
Wed May 16 2012,Box Score,Los Angeles Lakers,75,Oklahoma City Thunder,77,,
Wed May 16 2012,Box Score,Boston Celtics,107,Philadelphia 76ers,91,,
Thu May 17 2012,Box Score,Miami Heat,75,Indiana Pacers,94,,
Thu May 17 2012,Box Score,Los Angeles Clippers,88,San Antonio Spurs,105,,
Fri May 18 2012,Box Score,Oklahoma City Thunder,96,Los Angeles Lakers,99,,
Fri May 18 2012,Box Score,Boston Celtics,83,Philadelphia 76ers,92,,
Sat May 19 2012,Box Score,San Antonio Spurs,96,Los Angeles Clippers,86,,
Sat May 19 2012,Box Score,Oklahoma City Thunder,103,Los Angeles Lakers,100,,
Sun May 20 2012,Box Score,Miami Heat,101,Indiana Pacers,93,,
Sun May 20 2012,Box Score,San Antonio Spurs,102,Los Angeles Clippers,99,,
Mon May 21 2012,Box Score,Philadelphia 76ers,85,Boston Celtics,101,,
Mon May 21 2012,Box Score,Los Angeles Lakers,90,Oklahoma City Thunder,106,,
Tue May 22 2012,Box Score,Indiana Pacers,83,Miami Heat,115,,
Wed May 23 2012,Box Score,Boston Celtics,75,Philadelphia 76ers,82,,
Thu May 24 2012,Box Score,Miami Heat,105,Indiana Pacers,93,,
Sat May 26 2012,Box Score,Philadelphia 76ers,75,Boston Celtics,85,,
Sun May 27 2012,Box Score,Oklahoma City Thunder,98,San Antonio Spurs,101,,
Mon May 28 2012,Box Score,Boston Celtics,79,Miami Heat,93,,
Tue May 29 2012,Box Score,Oklahoma City Thunder,111,San Antonio Spurs,120,,
Wed May 30 2012,Box Score,Boston Celtics,111,Miami Heat,115,OT,
Thu May 31 2012,Box Score,San Antonio Spurs,82,Oklahoma City Thunder,102,,
Fri Jun 1 2012,Box Score,Miami Heat,91,Boston Celtics,101,,
Sat Jun 2 2012,Box Score,San Antonio Spurs,103,Oklahoma City Thunder,109,,
Sun Jun 3 2012,Box Score,Miami Heat,91,Boston Celtics,93,OT,
Mon Jun 4 2012,Box Score,Oklahoma City Thunder,108,San Antonio Spurs,103,,
Tue Jun 5 2012,Box Score,Boston Celtics,94,Miami Heat,90,,
Wed Jun 6 2012,Box Score,San Antonio Spurs,99,Oklahoma City Thunder,107,,
Thu Jun 7 2012,Box Score,Miami Heat,98,Boston Celtics,79,,
Sat Jun 9 2012,Box Score,Boston Celtics,88,Miami Heat,101,,
Tue Jun 12 2012,Box Score,Miami Heat,94,Oklahoma City Thunder,105,,
Thu Jun 14 2012,Box Score,Miami Heat,100,Oklahoma City Thunder,96,,
Sun Jun 17 2012,Box Score,Oklahoma City Thunder,85,Miami Heat,91,,
Tue Jun 19 2012,Box Score,Oklahoma City Thunder,98,Miami Heat,104,,
Thu Jun 21 2012,Box Score,Oklahoma City Thunder,106,Miami Heat,121,,
